Name,Latitude,Longitude,Bikes Available,Slots,Empty Slots,Banking,Ebikes
Parmentier - République,48.864495,2.375012,0,50,49,True,0
Lieutenant Chauré - Etienne Marey,48.867462,2.405971,3,20,17,True,3
Cujas - Saint-Michel,48.848191,2.341832,2,19,17,True,2
Flandre - Alphonse Karr,48.89465,2.381868,1,26,23,True,1
Larmeroux - Baudelaire,48.81694,2.280989,5,29,24,False,3
Jean-François Lépine - Stephenson,48.886115,2.356856,7,22,12,True,4
Messine - Place Du Pérou,48.875448,2.315508,9,12,3,True,1
Beffroy,48.886591,2.261395,6,26,19,True,2
Molitor - Chardon-Lagache,48.845209,2.265684,10,34,23,True,5
Général De Gaulle - Alouette,48.839109,2.417566,26,26,0,True,9
Abbé Carton - Plantes,48.827674,2.320918,10,25,13,False,7
Marie-Georges Picquart - Pereire,48.888637,2.311171,5,32,27,False,1
Sablons - Georges Mandel,48.863875,2.28189,16,38,21,False,7
Gare RER de Vincennes,48.847563,2.433383,23,51,28,False,5
Villette - Belleville,48.872688,2.376461,7,48,35,True,3
Théophile Gautier - François Millet,48.850348,2.27303,20,30,10,False,0
Edouard Vaillant - Galliéni,48.858463,2.414795,5,49,44,False,3
Marché Secrétan,48.881255,2.373463,8,26,14,True,6
Quai de l'Aisne - Général Leclerc,48.895713,2.400571,5,27,21,True,5
Mairie du 11ème,48.858925,2.378976,17,51,34,True,3
Auguste Cain - Jean Moulin,48.82577,2.321042,7,40,33,False,5
Volontaire - Lecourbe,48.843514,2.306552,15,31,16,True,3
Lakanal - Commerce,48.844425,2.294059,14,53,39,True,5
Miromesnil - La Boétie,48.873722,2.315848,8,35,26,True,1
Marseille - Beaurepaire,48.871624,2.363927,11,55,41,False,3
Mathurins - Auber,48.872989,2.329498,9,36,26,True,4
Saint-Germain - Thenard,48.850571,2.347102,7,31,22,True,1
Square d'Anvers,48.882633,2.344884,2,33,30,True,1
Arago - Glacière,48.834861,2.344577,12,27,14,True,2
Mairie d'Ivry-sur-Seine,48.810571,2.384283,26,53,26,False,6
Parc Georges Brassens - Brancion,48.832278,2.302257,16,29,13,True,3
Parmentier - Abel Rabaud,48.869213,2.371689,1,52,51,True,1
Place Paul Eluard,48.767204,2.414498,18,19,1,True,5
Exelmans - Michel-Ange,48.843095,2.259777,14,33,18,True,4
Pierret - Madrid,48.882977,2.260126,3,28,25,True,1
Reims - Raymond Pitet,48.8888,2.296319,19,37,16,False,1
Saint-Vincent - Verdun,48.819212,2.254008,30,34,1,False,8
Grand Prieuré - Crussol,48.864661,2.369227,9,49,40,False,2
Claude Debussy - Marc Bloch,48.910388,2.311777,19,56,35,False,11
Aristide Briand - Gare de Bagneux,48.793873,2.321149,6,22,16,True,5
Parc Roger Salengro,48.905304,2.310559,15,35,18,False,5
Seine - Flandre,48.886786,2.374619,7,19,12,True,3
Hautpoul - Jean Jaurès,48.886394,2.386541,6,32,25,True,5
Chemin Vert - Fraternité,48.877141,2.446157,3,20,16,False,3
Laumière - Petit,48.884674,2.380039,11,34,23,True,3
Wilson - Métallurgie,48.909423,2.358444,9,28,16,False,3
Madame de Sanzillon - Mozart,48.903798,2.31874,7,22,11,True,2
Mairie du 7ème,48.857797,2.319266,5,27,22,False,1
Charonne - Faubourg Saint-Antoine,48.852192,2.374093,4,34,28,True,3
Gare Routière de Saint Cloud,48.842882,2.222245,12,31,18,True,8
